"Step","PPO - eval/episode_success","PPO - eval/episode_success__MIN","PPO - eval/episode_success__MAX"
"10000","0.18","0.18","0.18"
"12000","0.18","0.18","0.18"
"14000","0.18","0.18","0.18"
"16000","0.22","0.22","0.22"
"18000","0.22","0.22","0.22"
"20000","0.12","0.12","0.12"
"22000","0.22","0.22","0.22"
"24000","0.16","0.16","0.16"
"26000","0.16","0.16","0.16"
"28000","0.12","0.12","0.12"
"30000","0.2","0.2","0.2"
"32000","0.2","0.2","0.2"
"34000","0.16","0.16","0.16"
"36000","0.14","0.14","0.14"
"38000","0.14","0.14","0.14"
"40000","0.08","0.08","0.08"
"42000","0.04","0.04","0.04"
"44000","0.18","0.18","0.18"
"46000","0.14","0.14","0.14"
"48000","0.24","0.24","0.24"
"50000","0.18","0.18","0.18"
"52000","0.14","0.14","0.14"
"54000","0.1","0.1","0.1"
"56000","0.16","0.16","0.16"
"58000","0.18","0.18","0.18"
"60000","0.12","0.12","0.12"
"62000","0.12","0.12","0.12"
"64000","0.18","0.18","0.18"
"66000","0.14","0.14","0.14"
"68000","0.12","0.12","0.12"
"70000","0.22","0.22","0.22"
"72000","0.12","0.12","0.12"
"74000","0.16","0.16","0.16"
"76000","0.1","0.1","0.1"
"78000","0.16","0.16","0.16"
"80000","0.22","0.22","0.22"
"82000","0.2","0.2","0.2"
"84000","0.16","0.16","0.16"
"86000","0.16","0.16","0.16"
"88000","0.12","0.12","0.12"
"90000","0.14","0.14","0.14"
"92000","0.16","0.16","0.16"
"94000","0.16","0.16","0.16"
"96000","0.1","0.1","0.1"
"98000","0.16","0.16","0.16"
"100000","0.24","0.24","0.24"
"102000","0.14","0.14","0.14"
"104000","0.14","0.14","0.14"
"106000","0.16","0.16","0.16"
"108000","0.2","0.2","0.2"
"110000","0.2","0.2","0.2"
"112000","0.16","0.16","0.16"
"114000","0.12","0.12","0.12"
"116000","0.16","0.16","0.16"
"118000","0.3","0.3","0.3"
"120000","0.1","0.1","0.1"
"122000","0.2","0.2","0.2"
"124000","0.12","0.12","0.12"
"126000","0.18","0.18","0.18"
"128000","0.18","0.18","0.18"
"130000","0.1","0.1","0.1"
"132000","0.2","0.2","0.2"
"134000","0.22","0.22","0.22"
"136000","0.12","0.12","0.12"
"138000","0.18","0.18","0.18"
"140000","0.3","0.3","0.3"
"142000","0.18","0.18","0.18"
"144000","0.14","0.14","0.14"
"146000","0.32","0.32","0.32"
"148000","0.2","0.2","0.2"
"150000","0.22","0.22","0.22"
"152000","0.18","0.18","0.18"
"154000","0.22","0.22","0.22"
"156000","0.2","0.2","0.2"
"158000","0.26","0.26","0.26"
"160000","0.18","0.18","0.18"
"162000","0.26","0.26","0.26"
"164000","0.12","0.12","0.12"
"166000","0.2","0.2","0.2"
"168000","0.32","0.32","0.32"
"170000","0.2","0.2","0.2"
"172000","0.28","0.28","0.28"
"174000","0.14","0.14","0.14"
"176000","0.14","0.14","0.14"
"178000","0.24","0.24","0.24"
"180000","0.24","0.24","0.24"
"182000","0.26","0.26","0.26"
"184000","0.18","0.18","0.18"
"186000","0.22","0.22","0.22"
"188000","0.18","0.18","0.18"
"190000","0.16","0.16","0.16"
"192000","0.16","0.16","0.16"
"194000","0.1","0.1","0.1"
"196000","0.2","0.2","0.2"
"198000","0.18","0.18","0.18"
"200000","0.18","0.18","0.18"
"202000","0.22","0.22","0.22"
"204000","0.16","0.16","0.16"
"206000","0.24","0.24","0.24"
"208000","0.16","0.16","0.16"
"210000","0.12","0.12","0.12"
"212000","0.22","0.22","0.22"
"214000","0.18","0.18","0.18"
"216000","0.22","0.22","0.22"
"218000","0.12","0.12","0.12"
"220000","0.28","0.28","0.28"
"222000","0.2","0.2","0.2"
"224000","0.26","0.26","0.26"
"226000","0.2","0.2","0.2"
"228000","0.22","0.22","0.22"
"230000","0.3","0.3","0.3"
"232000","0.26","0.26","0.26"
"234000","0.18","0.18","0.18"
"236000","0.24","0.24","0.24"
"238000","0.26","0.26","0.26"
"240000","0.18","0.18","0.18"
"242000","0.18","0.18","0.18"
"244000","0.2","0.2","0.2"
"246000","0.24","0.24","0.24"
"248000","0.2","0.2","0.2"
"250000","0.16","0.16","0.16"
"252000","0.2","0.2","0.2"
"254000","0.16","0.16","0.16"
"256000","0.18","0.18","0.18"
"258000","0.18","0.18","0.18"
"260000","0.26","0.26","0.26"
"262000","0.18","0.18","0.18"
"264000","0.1","0.1","0.1"
"266000","0.14","0.14","0.14"
"268000","0.1","0.1","0.1"
"270000","0.1","0.1","0.1"
"272000","0.24","0.24","0.24"
"274000","0.16","0.16","0.16"
"276000","0.26","0.26","0.26"
"278000","0.18","0.18","0.18"
"280000","0.18","0.18","0.18"
"282000","0.22","0.22","0.22"
"284000","0.24","0.24","0.24"
"286000","0.2","0.2","0.2"
"288000","0.12","0.12","0.12"
"290000","0.2","0.2","0.2"
"292000","0.24","0.24","0.24"
"294000","0.12","0.12","0.12"
"296000","0.04","0.04","0.04"
"298000","0.22","0.22","0.22"
"300000","0.14","0.14","0.14"
"302000","0.16","0.16","0.16"
"304000","0.12","0.12","0.12"
"306000","0.22","0.22","0.22"
"308000","0.2","0.2","0.2"
"310000","0.18","0.18","0.18"
"312000","0.22","0.22","0.22"
"314000","0.18","0.18","0.18"
"316000","0.14","0.14","0.14"
"318000","0.14","0.14","0.14"
"320000","0.16","0.16","0.16"
"322000","0.14","0.14","0.14"
"324000","0.12","0.12","0.12"
"326000","0.22","0.22","0.22"
"328000","0.08","0.08","0.08"
"330000","0.1","0.1","0.1"
"332000","0.28","0.28","0.28"
"334000","0.16","0.16","0.16"
"336000","0.18","0.18","0.18"
"338000","0.2","0.2","0.2"
"340000","0.22","0.22","0.22"
"342000","0.14","0.14","0.14"
"344000","0.18","0.18","0.18"
"346000","0.12","0.12","0.12"
"348000","0.2","0.2","0.2"
"350000","0.22","0.22","0.22"
"352000","0.22","0.22","0.22"
"354000","0.16","0.16","0.16"
"356000","0.16","0.16","0.16"
"358000","0.16","0.16","0.16"
"360000","0.24","0.24","0.24"
"362000","0.1","0.1","0.1"
"364000","0.22","0.22","0.22"
"366000","0.22","0.22","0.22"
"368000","0.14","0.14","0.14"
"370000","0.1","0.1","0.1"
"372000","0.2","0.2","0.2"
"374000","0.2","0.2","0.2"
"376000","0.26","0.26","0.26"
"378000","0.18","0.18","0.18"
"380000","0.16","0.16","0.16"
"382000","0.12","0.12","0.12"
"384000","0.2","0.2","0.2"
"386000","0.08","0.08","0.08"
"388000","0.1","0.1","0.1"
"390000","0.16","0.16","0.16"
"392000","0.24","0.24","0.24"
"394000","0.2","0.2","0.2"
"396000","0.18","0.18","0.18"
"398000","0.12","0.12","0.12"
"400000","0.22","0.22","0.22"
"402000","0.16","0.16","0.16"
"404000","0.12","0.12","0.12"
"406000","0.24","0.24","0.24"
"408000","0.12","0.12","0.12"
"410000","0.18","0.18","0.18"
"412000","0.14","0.14","0.14"
"414000","0.16","0.16","0.16"
"416000","0.16","0.16","0.16"
"418000","0.2","0.2","0.2"
"420000","0.1","0.1","0.1"
"422000","0.08","0.08","0.08"
"424000","0.24","0.24","0.24"
"426000","0.18","0.18","0.18"
"428000","0.16","0.16","0.16"
"430000","0.18","0.18","0.18"
"432000","0.16","0.16","0.16"
"434000","0.18","0.18","0.18"
"436000","0.14","0.14","0.14"
"438000","0.22","0.22","0.22"
"440000","0.26","0.26","0.26"
"442000","0.18","0.18","0.18"
"444000","0.14","0.14","0.14"
"446000","0.1","0.1","0.1"
"448000","0.16","0.16","0.16"
"450000","0.26","0.26","0.26"
